_id,PID,CM_ID,GIS_ID,ST_NUM,ST_NAME,UNIT_NUM,CITY,ZIP_CODE,BLDG_SEQ,NUM_BLDGS,LUC,LU,LU_DESC,BLDG_TYPE,OWN_OCC,OWNER,MAIL_ADDRESSEE,MAIL_STREET_ADDRESS,MAIL_CITY,MAIL_STATE,MAIL_ZIP_CODE,RES_FLOOR,CD_FLOOR,RES_UNITS,COM_UNITS,RC_UNITS,LAND_SF,GROSS_AREA,LIVING_AREA,LAND_VALUE,BLDG_VALUE,SFYI_VALUE,TOTAL_VALUE,GROSS_TAX,YR_BUILT,YR_REMODEL,STRUCTURE_CLASS,ROOF_STRUCTURE,ROOF_COVER,INT_WALL,EXT_FNISHED,INT_COND,EXT_COND,OVERALL_COND,BED_RMS,FULL_BTH,HLF_BTH,KITCHENS,TT_RMS,BDRM_COND,BTHRM_STYLE1,BTHRM_STYLE2,BTHRM_STYLE3,KITCHEN_TYPE,KITCHEN_STYLE1,KITCHEN_STYLE2,KITCHEN_STYLE3,HEAT_TYPE,HEAT_SYSTEM,AC_TYPE,FIREPLACES,ORIENTATION,NUM_PARKING,PROP_VIEW,CORNER_UNIT,Lat,Long
39685,0401648096,0401648000,0401648000,76,Gainsborough ST,48,BOSTON,02115,1,1,108,CP,CONDO PARKING (RES),NoBld,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,,,,,,169,,,0,"47,600",0,"47,600",$518.84 ,,,,,,,,,,A - Average,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
39960,0401765052,0401765000,0401765000,39,Hemenway ST,26,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,LR - Low Rise,N,REAL ESTATE BOSTON LLC,,"39 Hemenway ST, Unit 26",BOSTON,MA,02115,1,0,,,,"1,370",1370,1370,0,"846,100",0,"846,100","$9,222.49 ",1920,2018,,F - Flat,C - Composition,N - Normal,C - Cement Board,G - Good,G - Good,A - Average,3,2,0,1,5,A - Average,M - Modern,M - Modern,,O - One Person,M - Modern,,,W - Ht Water/Steam,I - Indiv. Cntrl,N - None,0,T - Through,0,A - Average,N - No,42.3455313,-71.0897152
60992,0601787004,0601787000,0601787000,269,BOLTON ST,2,SOUTH BOSTON,02127,1,1,102,CD,RESIDENTIAL CONDO,DX - Duplex,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,3,1,,,,"1,236",1236,1236,0,"654,200",0,"654,200","$7,130.78 ",1900,1999,,F - Flat,C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,G - Good,2,2,1,1,4,A - Average,S - Semi-Modern,S - Semi-Modern,S - Semi-Modern,F - Full Eat In,S - Semi-Modern,,,F - Forced Hot Air,Y - Self Contained,N - None,0,T - Through,0,A - Average,N - No,42.3418872,-71.0873303
69318,0604444000,,0604444000,130,P ST,,SOUTH BOSTON,02127,1,1,104,R2,TWO-FAM DWELLING,SD - Semi-Det,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,3,,,,,"1,660",3483,2388,"342,000","853,500",0,"1,195,500","$13,030.95 ",1890,,,M - Mansard,A - Asphalt Shingl,N - Normal,M - Vinyl,G - Good,A - Average,A - Average,6,2,2,2,14,,S - Semi-Modern,S - Semi-Modern,S - Semi-Modern,2F - 2 Full Eat In Kitchens,S - Semi-Modern,S - Semi-Modern,,W - Ht Water/Steam,,N - None,1,,0,A - Average,,42.3418872,-71.0873303
72656,0701687000,,0701687000,92,G ST,,SOUTH BOSTON,02127,1,1,105,R3,THREE-FAM DWELLING,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,3,,,,,"2,162",6707,4681.35,"363,600","1,302,800",0,"1,666,400","$18,163.76 ",1890,2021,,F - Flat,R - Rubber Roof,N - Normal,C - Cement Board,F - Fair,G - Good,F - Fair,7,3,0,3,13,,N - No Remodeling,N - No Remodeling,N - No Remodeling,3F - 3 Full Eat In Kitchens,N - No Remodeling,N - No Remodeling,N - No Remodeling,W - Ht Water/Steam,,N - None,0,,0,A - Average,,42.3418872,-71.0873303
73954,0702364000,,0702364000,74,MARINE RD,,SOUTH BOSTON,02127,1,1,105,R3,THREE-FAM DWELLING,DK - Decker,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,3,,,,,"2,561",5502,3735,"431,100","1,374,800",0,"1,805,900","$19,684.31 ",1905,,,F - Flat,C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,8,4,0,3,18,,S - Semi-Modern,S - Semi-Modern,S - Semi-Modern,3F - 3 Full Eat In Kitchens,M - Modern,S - Semi-Modern,S - Semi-Modern,W - Ht Water/Steam,,N - None,0,,0,A - Average,,42.3418872,-71.0873303
74611,0702743000,,0702743000,19,LOCUST ST,,DORCHESTER,02125,1,1,101,R1,SINGLE FAM DWELLING,CL - Colonial,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,2,,,,,"1,980",2252,1356,"169,300","325,200",0,"494,500","$5,390.05 ",1900,2013,,G - Gable,A - Asphalt Shingl,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,4,2,0,1,7,,S - Semi-Modern,S - Semi-Modern,,1F - 1 Full Eat In Kitchens,M - Modern,,,F - Forced Hot Air,,N - None,0,,4,F - Fair,,42.3418872,-71.0873303
74617,0702748010,,0702748010,114,Buttonwood ST,,DORCHESTER,02125,1,1,101,R1,SINGLE FAM DWELLING,RR - Raised Ranch,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,,,,,"4,300",2448,1152,"232,900","394,700",0,"627,600","$6,840.84 ",1986,,,G - Gable,A - Asphalt Shingl,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,4,2,1,1,6,,S - Semi-Modern,S - Semi-Modern,S - Semi-Modern,1F - 1 Full Eat In Kitchens,S - Semi-Modern,,,E - Electric,,N - None,0,,1,A - Average,,42.3418872,-71.0873303
74618,0702748020,,0702748020,118,Buttonwood ST,,DORCHESTER,02125,1,1,105,R3,THREE-FAM DWELLING,DK - Decker,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,3,,,,,"2,450",4396,3069,"262,700","998,700",0,"1,261,400","$13,749.26 ",1920,,,F - Flat,R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,12,6,0,3,18,,S - Semi-Modern,S - Semi-Modern,S - Semi-Modern,3F - 3 Full Eat In Kitchens,S - Semi-Modern,S - Semi-Modern,S - Semi-Modern,W - Ht Water/Steam,,N - None,0,,3,A - Average,,42.3418872,-71.0873303
74619,0702749000,,0702749000,110,Buttonwood ST,,DORCHESTER,02125,1,1,105,R3,THREE-FAM DWELLING,DK - Decker,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,3,,,,,"3,300",4192,3144,"280,900","452,800",0,"733,700","$7,997.33 ",1905,2016,,F - Flat,R - Rubber Roof,N - Normal,M - Vinyl,P - Poor,A - Average,F - Fair,8,3,0,3,14,,N - No Remodeling,S - Semi-Modern,N - No Remodeling,3F - 3 Full Eat In Kitchens,N - No Remodeling,N - No Remodeling,N - No Remodeling,W - Ht Water/Steam,,N - None,0,,0,A - Average,,42.3418872,-71.0873303
